Customer_ID,Age,City,State,Income_Bracket,Registration_Year,total_transactions,total_spent,average_purchase,total_sessions,total_pages_visited,total_earned_points,total_redeemed_points
C100000,56,Pune,Gujarat,Medium,2025,0.0,0.0,0.0,2.0,36.0,85.0,395.0
C100001,46,Nagpur,West Bengal,Low,2025,1.0,3288.0,3288.0,1.0,11.0,1324.0,522.0
C100002,32,Kolkata,Rajasthan,High,2022,0.0,0.0,0.0,2.0,32.0,0.0,0.0
C100003,25,Nagpur,Karnataka,High,2025,1.0,2048.0,2048.0,1.0,12.0,2399.0,676.0
C100004,38,Pune,Tamil Nadu,Medium,2022,1.0,234.0,234.0,1.0,13.0,1350.0,595.0
C100005,56,Delhi,Delhi,Low,2024,3.0,10266.0,3422.0,2.0,20.0,734.0,208.0
C100006,36,Delhi,Gujarat,High,2024,0.0,0.0,0.0,2.0,25.0,767.0,227.0
C100007,40,Nagpur,Telangana,Low,2025,1.0,7037.0,7037.0,0.0,0.0,645.0,256.0
C100008,28,Mumbai,Maharashtra,Low,2022,0.0,0.0,0.0,1.0,7.0,631.0,408.0
C100009,28,Nagpur,Delhi,Medium,2025,3.0,20566.0,6855.333333333333,3.0,48.0,270.0,457.0
C100010,41,Hyderabad,Gujarat,High,2025,3.0,14700.0,4900.0,0.0,0.0,360.0,431.0
C100011,53,Bengaluru,Tamil Nadu,Medium,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100012,57,Chennai,Maharashtra,Medium,2023,2.0,3380.0,1690.0,2.0,38.0,0.0,0.0
C100013,41,Mumbai,Gujarat,High,2022,1.0,8015.0,8015.0,2.0,7.0,0.0,0.0
C100014,20,Bengaluru,Delhi,Low,2024,0.0,0.0,0.0,2.0,45.0,674.0,665.0
C100015,39,Kolkata,Karnataka,Medium,2024,0.0,0.0,0.0,3.0,38.0,0.0,0.0
C100016,19,Pune,Tamil Nadu,High,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100017,41,Delhi,Maharashtra,Low,2022,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C100018,47,Pune,Rajasthan,Low,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100019,55,Mumbai,West Bengal,Low,2025,1.0,561.0,561.0,3.0,41.0,1545.0,533.0
C100020,19,Jaipur,Karnataka,Medium,2025,1.0,706.0,706.0,0.0,0.0,538.0,72.0
C100021,38,Nagpur,West Bengal,Medium,2023,1.0,2629.0,2629.0,1.0,11.0,657.0,472.0
C100022,50,Hyderabad,West Bengal,High,2024,1.0,3960.0,3960.0,0.0,0.0,0.0,0.0
C100023,29,Bengaluru,Maharashtra,Low,2024,1.0,5148.0,5148.0,0.0,0.0,434.0,482.0
C100024,39,Bengaluru,Telangana,Low,2025,1.0,6965.0,6965.0,0.0,0.0,0.0,0.0
C100025,42,Ahmedabad,Gujarat,High,2024,0.0,0.0,0.0,3.0,32.0,930.0,171.0
C100026,44,Delhi,Gujarat,Low,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100027,59,Bengaluru,Rajasthan,Low,2022,1.0,6182.0,6182.0,0.0,0.0,223.0,356.0
C100028,45,Mumbai,Telangana,High,2024,1.0,1816.0,1816.0,0.0,0.0,0.0,0.0
C100029,33,Chennai,Tamil Nadu,High,2025,1.0,1142.0,1142.0,0.0,0.0,0.0,0.0
C100030,32,Jaipur,Maharashtra,Medium,2025,1.0,9392.0,9392.0,1.0,13.0,1059.0,646.0
C100031,20,Bengaluru,Gujarat,Medium,2022,1.0,2508.0,2508.0,1.0,6.0,0.0,0.0
C100032,54,Chennai,Telangana,Medium,2023,2.0,915.0,457.5,1.0,4.0,250.0,47.0
C100033,24,Bengaluru,Delhi,High,2022,1.0,4754.0,4754.0,1.0,4.0,606.0,445.0
C100034,38,Mumbai,Delhi,Medium,2024,0.0,0.0,0.0,3.0,43.0,0.0,0.0
C100035,26,Chennai,Telangana,Low,2025,0.0,0.0,0.0,2.0,8.0,1722.0,538.0
C100036,56,Kolkata,Gujarat,Medium,2023,3.0,10389.0,3463.0,1.0,10.0,0.0,0.0
C100037,35,Bengaluru,West Bengal,Medium,2022,1.0,5975.0,5975.0,0.0,0.0,232.0,135.0
C100038,21,Kolkata,West Bengal,Medium,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100039,42,Ahmedabad,Telangana,High,2024,1.0,9043.0,9043.0,0.0,0.0,832.0,319.0
C100040,31,Delhi,Tamil Nadu,Low,2025,2.0,5542.0,2771.0,0.0,0.0,1660.0,541.0
C100041,26,Mumbai,West Bengal,High,2025,2.0,11991.0,5995.5,1.0,4.0,589.0,56.0
C100042,43,Hyderabad,Tamil Nadu,Low,2023,0.0,0.0,0.0,2.0,4.0,820.0,541.0
C100043,19,Mumbai,Delhi,Medium,2025,1.0,2101.0,2101.0,2.0,19.0,1370.0,677.0
C100044,37,Nagpur,Karnataka,Medium,2022,1.0,9413.0,9413.0,0.0,0.0,733.0,999.0
C100045,45,Hyderabad,Maharashtra,Low,2022,3.0,7532.0,2510.6666666666665,2.0,25.0,1385.0,800.0
C100046,24,Nagpur,Karnataka,High,2025,0.0,0.0,0.0,0.0,0.0,2100.0,685.0
C100047,25,Chennai,Tamil Nadu,High,2025,2.0,4686.0,2343.0,1.0,2.0,1223.0,258.0
C100048,52,Ahmedabad,Rajasthan,Medium,2022,1.0,1886.0,1886.0,0.0,0.0,131.0,39.0
C100049,31,Chennai,Rajasthan,Low,2022,1.0,1739.0,1739.0,2.0,42.0,677.0,375.0
C100050,34,Bengaluru,West Bengal,Low,2023,1.0,6115.0,6115.0,1.0,11.0,773.0,324.0
C100051,53,Delhi,Karnataka,Low,2024,1.0,8093.0,8093.0,2.0,27.0,430.0,202.0
C100052,57,Mumbai,Tamil Nadu,Low,2024,3.0,13525.0,4508.333333333333,0.0,0.0,0.0,0.0
C100053,21,Pune,Gujarat,Medium,2024,1.0,7528.0,7528.0,2.0,27.0,840.0,182.0
C100054,19,Mumbai,Karnataka,High,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100055,23,Mumbai,Delhi,Medium,2022,2.0,8152.0,4076.0,3.0,49.0,815.0,103.0
C100056,59,Hyderabad,Rajasthan,Low,2022,0.0,0.0,0.0,1.0,4.0,976.0,312.0
C100057,21,Jaipur,Tamil Nadu,High,2022,1.0,4243.0,4243.0,2.0,16.0,801.0,385.0
C100058,46,Pune,Delhi,Medium,2024,1.0,7296.0,7296.0,2.0,44.0,655.0,269.0
C100059,35,Bengaluru,Karnataka,Low,2024,2.0,10620.0,5310.0,1.0,5.0,1269.0,265.0
C100060,43,Nagpur,Telangana,Medium,2023,3.0,3110.0,1036.6666666666667,1.0,13.0,1592.0,643.0
C100061,51,Kolkata,Telangana,Low,2023,0.0,0.0,0.0,1.0,21.0,0.0,0.0
C100062,27,Nagpur,Maharashtra,Medium,2022,3.0,18435.0,6145.0,1.0,17.0,1086.0,103.0
C100063,53,Delhi,Rajasthan,Medium,2023,3.0,17689.0,5896.333333333333,1.0,19.0,0.0,0.0
C100064,31,Ahmedabad,Gujarat,Medium,2024,2.0,16028.0,8014.0,1.0,14.0,1886.0,324.0
C100065,48,Delhi,Telangana,Low,2024,2.0,5378.0,2689.0,1.0,12.0,0.0,0.0
C100066,32,Ahmedabad,Gujarat,High,2024,0.0,0.0,0.0,0.0,0.0,380.0,250.0
C100067,25,Mumbai,Maharashtra,High,2024,0.0,0.0,0.0,1.0,2.0,0.0,0.0
C100068,31,Hyderabad,Karnataka,Low,2025,1.0,6705.0,6705.0,1.0,8.0,1405.0,726.0
C100069,40,Bengaluru,Rajasthan,High,2022,3.0,16926.0,5642.0,1.0,23.0,251.0,124.0
C100070,57,Jaipur,Rajasthan,High,2022,2.0,8894.0,4447.0,2.0,22.0,550.0,386.0
C100071,38,Delhi,Maharashtra,Medium,2025,1.0,1536.0,1536.0,1.0,12.0,613.0,94.0
C100072,33,Hyderabad,Maharashtra,Medium,2023,1.0,5295.0,5295.0,2.0,9.0,0.0,0.0
C100073,35,Nagpur,Rajasthan,Low,2022,0.0,0.0,0.0,0.0,0.0,396.0,53.0
C100074,41,Jaipur,Maharashtra,Low,2023,1.0,5542.0,5542.0,1.0,16.0,535.0,262.0
C100075,43,Chennai,Gujarat,Medium,2024,1.0,2776.0,2776.0,1.0,19.0,0.0,0.0
C100076,42,Mumbai,Delhi,Low,2023,1.0,5696.0,5696.0,2.0,25.0,0.0,0.0
C100077,58,Pune,Gujarat,Low,2022,1.0,9636.0,9636.0,2.0,13.0,688.0,419.0
C100078,46,Pune,Gujarat,High,2022,0.0,0.0,0.0,1.0,19.0,0.0,0.0
C100079,32,Kolkata,Maharashtra,Low,2024,2.0,6409.0,3204.5,1.0,13.0,759.0,958.0
C100080,18,Mumbai,West Bengal,Low,2022,1.0,3861.0,3861.0,2.0,16.0,577.0,725.0
C100081,42,Kolkata,Rajasthan,Medium,2024,2.0,8848.0,4424.0,0.0,0.0,333.0,279.0
C100082,24,Pune,Tamil Nadu,Low,2022,2.0,2492.0,1246.0,0.0,0.0,0.0,0.0
C100083,26,Bengaluru,Karnataka,Medium,2024,1.0,7102.0,7102.0,0.0,0.0,0.0,0.0
C100084,41,Nagpur,Delhi,Low,2023,0.0,0.0,0.0,0.0,0.0,1457.0,767.0
C100085,18,Bengaluru,Tamil Nadu,High,2023,0.0,0.0,0.0,2.0,39.0,0.0,0.0
C100086,25,Hyderabad,Karnataka,Medium,2025,1.0,3798.0,3798.0,0.0,0.0,0.0,0.0
C100087,41,Nagpur,Gujarat,Low,2024,2.0,9432.0,4716.0,1.0,18.0,0.0,0.0
C100088,28,Pune,Rajasthan,Low,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100089,34,Kolkata,Rajasthan,High,2025,0.0,0.0,0.0,0.0,0.0,614.0,141.0
C100090,25,Mumbai,Delhi,Low,2022,1.0,2780.0,2780.0,4.0,62.0,1197.0,963.0
C100091,52,Mumbai,Gujarat,High,2024,1.0,8945.0,8945.0,2.0,22.0,756.0,381.0
C100092,52,Ahmedabad,Karnataka,Medium,2023,1.0,7714.0,7714.0,1.0,13.0,0.0,0.0
C100093,50,Jaipur,Telangana,Medium,2023,0.0,0.0,0.0,0.0,0.0,272.0,191.0
C100094,22,Chennai,Karnataka,Low,2025,1.0,9822.0,9822.0,1.0,3.0,0.0,0.0
C100095,59,Pune,Telangana,Medium,2025,4.0,29024.0,7256.0,1.0,17.0,0.0,0.0
C100096,56,Pune,Gujarat,High,2025,0.0,0.0,0.0,5.0,51.0,331.0,225.0
C100097,58,Kolkata,Rajasthan,High,2022,2.0,9139.0,4569.5,1.0,1.0,622.0,18.0
C100098,45,Ahmedabad,Telangana,Low,2023,1.0,1919.0,1919.0,0.0,0.0,492.0,350.0
C100099,24,Delhi,West Bengal,High,2025,0.0,0.0,0.0,1.0,16.0,0.0,0.0
C100100,26,Jaipur,Karnataka,High,2023,2.0,6271.0,3135.5,0.0,0.0,1078.0,574.0
C100101,25,Bengaluru,Gujarat,High,2024,0.0,0.0,0.0,1.0,5.0,644.0,630.0
C100102,29,Bengaluru,Rajasthan,Low,2022,1.0,8312.0,8312.0,2.0,8.0,847.0,233.0
C100103,51,Delhi,Gujarat,Medium,2023,0.0,0.0,0.0,1.0,5.0,701.0,459.0
C100104,50,Ahmedabad,Telangana,High,2024,1.0,6437.0,6437.0,2.0,18.0,447.0,250.0
C100105,40,Jaipur,West Bengal,Medium,2023,0.0,0.0,0.0,1.0,18.0,453.0,26.0
C100106,41,Pune,Delhi,Medium,2024,3.0,15354.0,5118.0,1.0,6.0,0.0,0.0
C100107,54,Mumbai,Telangana,Low,2022,0.0,0.0,0.0,1.0,23.0,1640.0,628.0
C100108,52,Pune,Maharashtra,Low,2022,1.0,9132.0,9132.0,2.0,26.0,0.0,0.0
C100109,57,Bengaluru,Delhi,Medium,2022,0.0,0.0,0.0,1.0,8.0,420.0,65.0
