Transaction_ID,Customer_ID,Brand,Purchase_Amount,Cashback,Payment_Method,Transaction_Count,Fraud
T200000,C111606,PVR,547,166,Credit Card,2,0
T200001,C110791,Ajio,2789,301,Net Banking,2,0
T200002,C118737,MakeMyTrip,2376,171,Credit Card,2,0
T200003,C110608,Flipkart,3104,439,Debit Card,1,0
T200004,C117948,Myntra,1283,481,Net Banking,2,0
T200005,C114921,Amazon,1465,318,Credit Card,3,0
T200006,C123261,Swiggy,8584,231,Credit Card,3,0
T200007,C106841,PVR,3538,60,Credit Card,1,0
T200008,C113534,MakeMyTrip,1098,84,UPI,1,0
T200009,C102345,PVR,8640,488,UPI,4,0
T200010,C106166,Ajio,8777,130,Net Banking,1,0
T200011,C106913,Ajio,6317,40,Credit Card,2,0
T200012,C100717,MakeMyTrip,7467,382,Debit Card,1,0
T200013,C107463,Amazon,8225,366,Credit Card,2,0
T200014,C120854,Swiggy,1177,333,Credit Card,2,0
T200015,C112697,Ajio,6618,103,Net Banking,1,0
T200016,C107061,Uber,5982,225,Credit Card,2,0
T200017,C118733,Flipkart,6393,293,Net Banking,2,0
T200018,C124935,PVR,7858,202,UPI,2,0
T200019,C116071,Zomato,7946,472,Net Banking,1,0
T200020,C122755,PVR,9394,177,UPI,4,0
T200021,C108906,Flipkart,7756,118,Net Banking,2,0
T200022,C100877,MakeMyTrip,8067,298,UPI,2,0
T200023,C118934,Uber,9278,299,Net Banking,1,0
T200024,C110575,Ajio,6963,474,Credit Card,3,0
T200025,C117897,Amazon,9583,351,Net Banking,2,1
T200026,C100398,Swiggy,1130,190,Credit Card,2,0
T200027,C101255,Ajio,2509,75,UPI,4,0
T200028,C116686,Flipkart,5666,58,Debit Card,2,0
T200029,C113439,Amazon,6898,205,Net Banking,1,0
T200030,C121842,Swiggy,9830,229,Net Banking,3,1
T200031,C120795,PVR,9095,170,Credit Card,4,0
T200032,C101607,Myntra,3936,206,Debit Card,1,0
T200033,C100894,MakeMyTrip,8534,124,Credit Card,5,0
T200034,C103856,PVR,1199,22,Debit Card,1,0
T200035,C114584,Uber,6053,261,Net Banking,1,0
T200036,C110129,Flipkart,6043,35,Debit Card,1,0
T200037,C124868,Ajio,6428,370,Credit Card,1,0
T200038,C120847,Swiggy,4352,443,Credit Card,2,0
T200039,C104887,Zomato,4543,43,Credit Card,2,0
T200040,C108784,Ajio,8453,187,UPI,1,0
T200041,C106798,Ajio,4065,101,Debit Card,1,0
T200042,C115922,Zomato,394,383,Net Banking,3,0
T200043,C118327,Zomato,6374,298,Credit Card,2,0
T200044,C120246,Zomato,4109,330,Debit Card,1,0
T200045,C115194,Nykaa,7175,234,Debit Card,2,0
T200046,C120181,Ajio,9562,427,Net Banking,1,1
T200047,C115662,Swiggy,6534,252,Debit Card,3,0
T200048,C108381,Zomato,6785,92,Debit Card,4,0
T200049,C123756,MakeMyTrip,7694,489,Credit Card,2,0
T200050,C101776,Uber,8726,89,Net Banking,1,0
T200051,C110995,Nykaa,7180,461,Debit Card,1,0
T200052,C116830,Swiggy,6834,180,Credit Card,4,0
T200053,C104194,Nykaa,7433,155,Credit Card,1,0
T200054,C103967,Nykaa,1280,425,Net Banking,3,0
T200055,C124923,Myntra,8075,13,Debit Card,3,0
T200056,C111465,Amazon,6641,480,Debit Card,2,0
T200057,C100438,Flipkart,3345,92,Debit Card,1,0
T200058,C103799,Zomato,7335,315,Credit Card,2,0
T200059,C103430,Ajio,2121,411,Net Banking,1,0
T200060,C113348,MakeMyTrip,5399,462,Net Banking,4,0
T200061,C123432,Myntra,773,363,UPI,2,0
T200062,C122378,Ajio,9282,476,UPI,1,0
T200063,C105559,PVR,7284,201,Credit Card,1,0
T200064,C122192,Zomato,5335,196,Credit Card,2,0
T200065,C124001,PVR,1840,1,Credit Card,2,0
T200066,C105049,Amazon,3505,161,UPI,1,0
T200067,C109780,Amazon,1191,300,Credit Card,2,0
T200068,C122376,Ajio,8670,154,UPI,3,0
